"dataset_id","state","X1985","X1986","X1987","X1988","X1989","X1990","X1991","X1992","X1993","X1994","X1995","X1996","X1997","X1998","X1999","X2000","X2001","X2002","X2003","X2004","X2005","X2006","X2007","X2008","X2009","X2010","X2011","X2012","X2013","X2014","X2015","X2016","X2017","X2018","X2019","X2020","X2021","X2022"
"NLCD_forest_woodywet","TX",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,92045.221199,NA,NA,90436.767733,NA,89584.757759,NA,88958.262987,NA,NA,88556.617153,NA,90263.734248,NA,NA,89543.417822,NA,NA,90891.643319,NA,91646.544854,NA
"NRI_total","TX",NA,NA,59821.9344394982,NA,NA,NA,NA,60829.6236341562,NA,NA,NA,NA,63447.9967624444,NA,NA,NA,NA,63439.9028733306,NA,NA,NA,NA,64245.2448401457,NA,NA,NA,NA,64330.2306758397,NA,NA,NA,NA,64573.0473492513,NA,NA,NA,NA,NA
"NRI_grazed","TX",NA,NA,29295.8316471064,NA,NA,NA,NA,28644.273573452,NA,NA,NA,NA,26543.9093484419,NA,NA,NA,NA,26948.6038041279,NA,NA,NA,NA,28555.2407932011,NA,NA,NA,NA,29255.3622015378,NA,NA,NA,NA,29874.5447187374,NA,NA,NA,NA,NA
"NRI_notgrazed","TX",NA,NA,30526.1027923917,NA,NA,NA,NA,32185.3500607042,NA,NA,NA,NA,36904.0874140024,NA,NA,NA,NA,36491.2990692028,NA,NA,NA,NA,35690.0040469446,NA,NA,NA,NA,35074.8684743019,NA,NA,NA,NA,34698.502630514,NA,NA,NA,NA,NA
"DW_trees_annual_mode","FL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,88700.71997,80950.44948,82468.76368,82177.448818,83956.575921,83205.109401
"DW_trees_gs_mode","FL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,75058.818874,76996.267575,78140.658777,77701.891679,80787.229037,81814.929941
"DW_trees_prob_10","FL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,111049.061373,106954.323305,107152.916145,108685.876003,108459.481692,108110.356702
"DW_trees_prob_25","FL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,89895.222754,83893.338486,84833.72403,85469.731287,86697.688219,85593.160393
"DW_trees_prob_50","FL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,66316.479039,61121.04594,62300.622729,61799.707453,63102.028755,62661.944329
"ESA_trees","FL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,79401.275133,79962.575724,NA
"ESRI_2020_trees","FL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,58720.29333,NA,NA
"ESRI_annual_trees","FL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,59090.103325,58794.571384,59132.843354,59201.946082,58465.846946,58465.846946
"Hansen_GFC","FL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,51189.249596,50315.414472,49575.338207,48826.5753,47909.364377,47064.335457,46129.690053,45241.902704,44421.445215,43716.975939,42925.4794,42182.270124,41235.752,40605.908609,40038.122114,39500.453054,38842.184783,37977.127804,37104.419415,36321.908524,35836.284493,35457.802958,NA
